名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
遠井萌仁,日立リヴァーレ,12,35,46,8,23,105,44,5,41.9,37.1,0,0,0,5,65,3,5,12,126,55,35,52,,1.91,0.22,7.3,57.5
野本梨佳,久光製薬スプリングス,8,31,12,10,33,236,90,11,38.1,33.5,17,4,1,8,70,1,5,22,32,7,8,99,23.5,2.73,0.24,7.5,34.4
野村明日香,デンソーエアリービーズ,17,31,26,9,49,130,42,7,32.3,26.9,0,0,0,21,178,9,16,61,2,2,0,72,,0.86,0.43,11.4,100.0
金本望,トヨタ車体クインシーズ,14,31,16,10,3,4,1,0,25.0,25.0,0,0,0,0,2,0,0,0,0,0,0,1,,0.33,0.0,0.0,
金森晴香,久光製薬スプリングス,21,6,1,2,4,12,5,0,41.7,41.7,0,0,0,0,12,1,0,4,0,0,0,6,,1.25,0.0,16.7,
金田修佳,岡山シーガルズ,18,41,38,10,73,849,296,26,34.9,31.8,18,2,2,12,246,8,5,64,462,207,100,316,11.1,4.05,0.16,9.2,55.6
鈴木裕子,デンソーエアリービーズ,6,19,19,6,7,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
鍋谷友理枝,デンソーエアリービーズ,15,35,36,10,67,748,260,38,34.8,29.7,62,16,6,12,221,14,14,69,405,193,94,286,25.8,3.88,0.18,12.6,59.3
長内美和子,日立リヴァーレ,13,36,49,8,74,815,271,56,33.3,26.4,55,19,10,19,236,12,27,49,602,273,137,302,34.5,3.66,0.26,7.4,56.7
長瀬そら,岡山シーガルズ,26,6,2,2,3,5,2,0,40.0,40.0,0,0,0,0,0,0,0,0,1,0,0,2,,0.67,0.0,,0.0
間橋香織,日立リヴァーレ,1,36,49,8,9,23,7,3,30.4,17.4,3,1,1,0,5,0,0,0,7,1,4,7,33.3,0.78,0.0,0.0,42.9
関菜々巳,東レアローズ,14,46,33,13,79,39,26,0,66.7,66.7,0,0,0,10,377,17,14,115,4,0,0,53,,0.33,0.13,11.2,0.0
雪丸梢,KUROBEアクアフェアリーズ,7,13,55,2,42,211,72,4,34.1,32.2,0,0,0,14,104,2,9,20,5,0,3,88,,1.71,0.33,4.6,30.0
青柳京古,埼玉上尾メディックス,11,38,34,11,54,172,61,6,35.5,32.0,3,0,1,23,181,14,23,47,10,5,1,98,0.0,1.13,0.43,11.0,55.0
馬場ゆりか,KUROBEアクアフェアリーズ,4,13,55,2,68,0,0,0,,,0,0,0,0,0,0,0,0,183,109,30,0,,0.0,0.0,,67.8
高柳有里,岡山シーガルズ,9,3,2,1,1,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,
高橋沙織,トヨタ車体クインシーズ,3,38,22,12,50,421,148,26,35.2,29.0,49,10,5,18,190,9,15,59,350,154,91,175,20.4,2.96,0.36,10.5,57.0
高田茉優,岡山シーガルズ,15,6,0,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
高相みな実,PFUブルーキャッツ,17,6,18,0,3,10,0,2,0.0,-20.0,2,0,0,0,5,1,1,0,11,1,0,1,0.0,0.0,0.0,15.0,9.1
高野由里加,岡山シーガルズ,21,33,32,8,51,211,72,2,34.1,33.2,0,0,0,25,143,2,2,23,2,1,0,99,,1.41,0.49,5.1,50.0
黒後愛,東レアローズ,13,46,33,13,79,850,314,51,36.9,30.9,143,41,12,20,294,22,23,92,671,305,132,356,28.7,3.97,0.25,13.4,55.3
齋藤加奈子,日立リヴァーレ,7,36,49,8,80,0,0,0,,,0,0,0,0,0,0,0,0,258,125,59,0,,0.0,0.0,,59.9
