名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
早坂梢依,02,デンソーエアリービーズ,7,4,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
早坂梢依,11,デンソーエアリービーズ,7,13,8,6,0,75.0,75.0,0,0,0,4,41,2,1,13,1,0,0,,0.5,0.3,12.2,0.0
早坂梢依,12,デンソーエアリービーズ,7,1,0,0,0,,,0,0,0,0,2,0,1,0,1,0,0,,0.0,0.0,-12.5,0.0
星加輝,01,KUROBEアクアフェアリーズ,16,9,0,0,0,,,0,0,0,0,12,0,0,4,0,0,0,,0.0,0.0,8.3,
星加輝,02,KUROBEアクアフェアリーズ,16,9,0,0,0,,,0,0,0,0,11,0,0,1,0,0,0,,0.0,0.0,2.3,
星加輝,11,KUROBEアクアフェアリーズ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
星加輝,12,KUROBEアクアフェアリーズ,16,6,0,0,0,,,0,0,0,0,10,1,0,4,0,0,0,,0.0,0.0,20.0,
有田妃奈乃,01,PFUブルーキャッツ,1,4,0,0,0,,,0,0,0,0,5,0,0,1,0,0,0,,0.0,0.0,5.0,
有田妃奈乃,11,PFUブルーキャッツ,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
有田妃奈乃,12,PFUブルーキャッツ,1,9,0,0,0,,,0,0,0,0,15,2,1,4,0,0,0,,0.0,0.0,18.3,
朝日優衣,01,デンソーエアリービーズ,3,7,0,0,0,,,0,0,0,0,3,0,0,2,7,2,2,,0.0,0.0,16.7,42.9
朝日優衣,02,デンソーエアリービーズ,3,23,231,66,13,28.6,22.9,1,0,0,6,60,1,3,16,170,97,39,0.0,2.9,0.3,7.1,68.5
朝日優衣,11,デンソーエアリービーズ,3,5,16,2,1,12.5,6.2,1,0,0,1,4,0,0,1,17,10,4,0.0,0.4,0.2,6.2,70.6
