試合日,年月,月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2017-11-11,2017-11,11,富士通カワサキレッドスピリッツ,8,,後藤滉貴,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,4,1,1,1,25.0,1,1,0,100.0
2017-11-11,2017-11,11,富士通カワサキレッドスピリッツ,9,,手塚奨,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-11,2017-11,11,富士通カワサキレッドスピリッツ,10,,岡村義郎,3,■,■,■,,,10,7,0,0.7,0.7,2.33,0,0,0,-,2,0.67,11,1,1,1,9.1,0,0,0,-
2017-11-11,2017-11,11,富士通カワサキレッドスピリッツ,11,,浅野卓雅,3,■,■,■,,,24,10,1,0.4166666666666667,0.375,3.33,0,0,0,-,1,0.33,14,2,3,2,12.5,24,8,12,58.3
2017-11-11,2017-11,11,富士通カワサキレッドスピリッツ,12,L,芳賀広大,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,4,2,1,62.5
2017-11-11,2017-11,11,富士通カワサキレッドスピリッツ,13,,杉本匠,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2017-11-11,2017-11,11,富士通カワサキレッドスピリッツ,14,,岩井浩二,3,■,■,■,,,18,6,1,0.3333333333333333,0.2777777777777778,2.00,0,0,0,-,2,0.67,7,0,2,1,-3.6,20,9,9,67.5
2017-11-11,2017-11,11,富士通カワサキレッドスピリッツ,16,,新貴裕,3,■,■,■,,,3,2,0,0.6666666666666666,0.6666666666666666,0.67,0,0,0,-,5,1.67,9,0,1,0,-2.8,1,0,0,0.0
2017-11-11,2017-11,11,富士通カワサキレッドスピリッツ,20,,志波京介,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-
2017-11-11,2017-11,11,埼玉アザレア,2,,加藤克貴,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2017-11-11,2017-11,11,埼玉アザレア,3,,小島大輝,3,■,■,■,,,24,11,3,0.4583333333333333,0.3333333333333333,3.67,0,0,0,-,0,-,8,0,0,1,3.1,1,0,0,0.0
2017-11-11,2017-11,11,埼玉アザレア,8,,中津芳文,3,■,■,■,,,10,5,1,0.5,0.4,1.67,0,0,0,-,0,-,9,0,1,0,-2.8,0,0,0,-
2017-11-11,2017-11,11,埼玉アザレア,10,,川畑貴裕,3,■,■,■,,,15,4,2,0.26666666666666666,0.13333333333333333,1.33,1,0,1,0.0,0,-,7,0,0,2,7.1,9,4,1,50.0
2017-11-11,2017-11,11,埼玉アザレア,12,,高橋頌,2,□,□,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,2,0,1,25.0
2017-11-11,2017-11,11,埼玉アザレア,13,L,竹浪隼,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
