名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブレシーブ成功率
今村貴彦,2020-10,パナソニックパンサーズ,9,7,8,4,1,50.0,37.5,1,0,0,1,5,0,0,1,5.0,0,0,0,5,0.0,0.57,0.14,
今村貴彦,2020-11,パナソニックパンサーズ,9,16,41,21,1,51.2,48.8,12,5,1,0,24,0,4,7,3.1,0,0,0,21,41.7,1.31,0.0,
今村貴彦,2020-12,パナソニックパンサーズ,9,4,4,0,0,0.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,
今村貴彦,2021-01,パナソニックパンサーズ,9,2,3,2,0,66.7,66.7,0,0,0,0,2,0,1,0,-12.5,5,1,3,2,,1.0,0.0,50.0
今村貴彦,2021-02,パナソニックパンサーズ,9,1,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,
今村貴彦,2021-03,パナソニックパンサーズ,9,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
仲本賢優,2020-10,パナソニックパンサーズ,8,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
仲本賢優,2020-11,パナソニックパンサーズ,8,4,6,2,0,33.3,33.3,0,0,0,1,7,0,3,1,-7.1,5,3,1,3,,0.5,0.25,70.0
仲本賢優,2020-12,パナソニックパンサーズ,8,2,7,3,0,42.9,42.9,1,1,0,1,7,0,1,2,3.6,11,5,3,4,100.0,1.5,0.5,59.1
仲本賢優,2021-01,パナソニックパンサーズ,8,1,1,0,0,0.0,0.0,0,0,0,0,1,0,1,0,-25.0,5,2,2,0,,0.0,0.0,60.0
仲本賢優,2021-02,パナソニックパンサーズ,8,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
仲本賢優,2021-03,パナソニックパンサーズ,8,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
伊藤樹,2020-10,VC長野トライデンツ,6,5,12,6,0,50.0,50.0,0,0,0,0,8,0,3,2,-3.1,11,1,2,6,,1.2,0.0,18.2
伊藤樹,2020-11,VC長野トライデンツ,6,4,6,3,0,50.0,50.0,0,0,0,0,1,0,0,1,25.0,3,0,0,3,,0.75,0.0,0.0
伊藤樹,2020-12,VC長野トライデンツ,6,1,0,0,0,,,0,0,0,0,0,0,0,0,,2,1,1,0,,0.0,0.0,75.0
伊藤樹,2021-01,VC長野トライデンツ,6,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
伊藤樹,2021-02,VC長野トライデンツ,6,2,1,0,0,0.0,0.0,0,0,0,0,1,0,1,0,-25.0,2,1,0,0,,0.0,0.0,50.0
伊藤樹,2021-03,VC長野トライデンツ,6,1,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,
伊賀亮平,2020-10,パナソニックパンサーズ,16,18,0,0,0,,,0,0,0,0,0,0,0,0,,84,43,26,0,,0.0,0.0,66.7
伊賀亮平,2020-11,パナソニックパンサーズ,16,21,0,0,0,,,0,0,0,0,0,0,0,0,,21,8,4,0,,0.0,0.0,47.6
伊賀亮平,2020-12,パナソニックパンサーズ,16,8,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,
伊賀亮平,2021-01,パナソニックパンサーズ,16,25,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,
伊賀亮平,2021-02,パナソニックパンサーズ,16,28,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,
伊賀亮平,2021-03,パナソニックパンサーズ,16,10,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,
伏見大和,2020-10,ジェイテクトSTINGS,3,21,52,20,2,38.5,34.6,0,0,0,8,77,1,12,17,2.9,7,2,3,29,,0.95,0.38,50.0
伏見大和,2020-11,ジェイテクトSTINGS,3,21,25,11,0,44.0,44.0,0,0,0,5,40,1,8,11,4.4,1,0,1,17,,0.52,0.24,50.0
伏見大和,2020-12,ジェイテクトSTINGS,3,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
伏見大和,2021-01,ジェイテクトSTINGS,3,8,3,2,1,66.7,33.3,0,0,0,1,8,0,0,4,12.5,1,1,0,3,,0.25,0.12,100.0
伏見大和,2021-02,ジェイテクトSTINGS,3,8,13,6,2,46.2,30.8,0,0,0,2,14,0,2,2,0.0,3,2,0,8,,0.75,0.25,66.7
伏見大和,2021-03,ジェイテクトSTINGS,3,8,19,8,1,42.1,36.8,0,0,0,7,27,1,3,6,6.5,4,1,1,16,,1.0,0.88,37.5
佐川翔,2020-10,堺ブレイザーズ,8,4,0,0,0,,,0,0,0,0,2,0,0,0,0.0,0,0,0,0,,0.0,0.0,
