名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率,総得点
山内晶大,パナソニックパンサーズ,10,40,101,61,2,60.4,58.4,0,0,0,15,147,5,8,32,3,3,0,,1.52,0.38,7.5,100.0,81
山口拓海,東レアローズ,3,43,0,0,0,,,0,0,0,0,0,0,0,0,267,127,73,,0.0,0.0,,61.2,0
山口頌平,堺ブレイザーズ,14,22,0,0,0,,,0,0,0,0,31,2,2,2,0,0,0,,0.0,0.0,6.5,,2
山崎彰都,ウルフドッグス名古屋,26,6,37,9,3,24.3,16.2,4,1,0,0,21,1,5,6,34,11,8,25.0,1.5,0.0,6.0,44.1,10
山本将平,JTサンダーズ広島,18,25,153,62,4,40.5,37.9,23,7,0,5,77,3,23,23,152,78,39,30.4,2.48,0.2,3.9,64.1,70
山本憲吾,VC長野トライデンツ,12,41,0,0,0,,,0,0,0,0,0,0,0,0,137,63,33,,0.0,0.0,,58.0,0
山本智大,堺ブレイザーズ,20,44,0,0,0,,,0,0,0,0,0,0,0,0,184,95,46,,0.0,0.0,,64.1,0
山田滉太,大分三好ヴァイセアドラー,10,35,91,37,9,40.7,30.8,23,11,3,2,71,5,22,22,107,39,27,47.8,1.06,0.06,7.0,49.1,44
山田脩造,ウルフドッグス名古屋,1,37,134,57,13,42.5,32.8,12,6,3,9,115,2,21,22,183,67,56,50.0,1.54,0.24,2.0,51.9,68
山田要平,FC東京,4,8,1,1,0,100.0,100.0,0,0,0,0,5,0,1,1,1,0,0,,0.12,0.0,0.0,0.0,1
山近哲,ウルフドッグス名古屋,2,33,54,38,1,70.4,68.5,0,0,0,15,90,4,8,13,8,5,0,,1.15,0.45,5.8,62.5,57
山﨑貴矢,堺ブレイザーズ,6,21,0,0,0,,,0,0,0,0,26,1,7,13,0,0,0,,0.0,0.0,9.6,,1
峯村雄大,東レアローズ,7,36,1,0,0,0.0,0.0,0,0,0,0,49,3,4,18,10,6,3,,0.0,0.0,13.3,75.0,3
川口喬,大分三好ヴァイセアドラー,8,35,52,23,1,44.2,42.3,0,0,0,8,96,3,22,22,11,2,6,,0.66,0.23,3.1,45.5,34
川口太一,ウルフドッグス名古屋,20,20,0,0,0,,,0,0,0,0,0,0,0,0,22,4,7,,0.0,0.0,,34.1,0
平田亮介,FC東京,21,30,41,21,1,51.2,48.8,0,0,0,4,79,2,14,25,7,5,0,,0.7,0.13,6.0,71.4,27
戸嵜嵩大,VC長野トライデンツ,7,41,286,119,17,41.6,35.7,52,27,6,11,141,4,35,30,313,143,77,51.9,2.9,0.27,2.0,58.0,134
手原紳,FC東京,16,41,5,3,0,60.0,60.0,1,0,0,6,146,4,6,26,3,0,0,0.0,0.07,0.15,6.2,0.0,13
手塚大,FC東京,9,10,8,2,1,25.0,12.5,0,0,0,1,6,0,2,1,4,0,1,,0.2,0.1,-4.2,12.5,3
新貴裕,パナソニックパンサーズ,20,30,1,1,0,100.0,100.0,0,0,0,0,34,3,6,7,0,0,0,,0.03,0.0,9.6,,4
星野秀知,東レアローズ,10,25,112,42,3,37.5,34.8,2,0,0,5,66,1,10,11,91,29,29,0.0,1.68,0.2,1.9,47.8,48
本間隆太,ジェイテクトSTINGS,17,45,0,0,0,,,0,0,0,0,0,0,0,0,188,89,56,,0.0,0.0,,62.2,0
李博,東レアローズ,15,39,120,67,8,55.8,49.2,1,0,0,19,139,4,18,38,9,7,1,0.0,1.72,0.49,6.5,83.3,90
松尾敬介,大分三好ヴァイセアドラー,7,23,0,0,0,,,0,0,0,0,0,0,0,0,99,32,34,,0.0,0.0,,49.5,0
松本慶彦,堺ブレイザーズ,1,40,120,70,4,58.3,55.0,0,0,0,18,135,2,7,31,7,2,3,,1.75,0.45,5.9,50.0,90
松林憲太郎,サントリーサンバーズ,5,1,3,2,0,66.7,66.7,0,0,0,0,0,0,0,0,0,0,0,,2.0,0.0,,,2
林一壽,大分三好ヴァイセアドラー,9,38,93,48,5,51.6,46.2,0,0,0,13,95,1,20,15,5,0,2,,1.26,0.34,-0.3,20.0,62
柳澤広平,ジェイテクトSTINGS,7,24,122,55,4,45.1,41.8,9,2,3,4,81,1,2,20,109,40,27,22.2,2.29,0.17,6.8,49.1,60
柳田将洋,サントリーサンバーズ,8,50,367,194,21,52.9,47.1,92,59,3,13,202,17,45,76,173,40,38,64.1,3.88,0.26,12.3,34.1,224
柳町逸太,FC東京,13,3,1,0,0,0.0,0.0,0,0,0,0,2,0,1,1,0,0,0,,0.0,0.0,0.0,,0
栗山英之,FC東京,8,39,175,111,7,63.4,59.4,0,0,0,9,125,1,10,27,5,1,1,,2.85,0.23,4.2,30.0,121
栗山雅史,サントリーサンバーズ,19,27,160,81,8,50.6,45.6,61,34,2,8,74,4,9,16,1,1,0,55.7,3.0,0.3,7.8,100.0,93
梅野聡,東レアローズ,19,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,0
森崎健史,VC長野トライデンツ,16,38,69,35,1,50.7,49.3,0,0,0,4,132,7,21,30,17,6,5,,0.92,0.11,7.0,50.0,46
椿山竜介,ウルフドッグス名古屋,14,9,25,13,2,52.0,44.0,8,5,0,1,19,3,6,4,0,0,0,62.5,1.44,0.11,13.2,,17
椿芽久,VC長野トライデンツ,13,31,1,0,0,0.0,0.0,0,0,0,0,10,0,2,1,0,0,0,,0.0,0.0,-2.5,,0
樋口裕希,堺ブレイザーズ,2,34,200,85,7,42.5,39.0,32,17,2,11,125,5,19,53,251,79,62,53.1,2.5,0.32,10.8,43.8,101
橘裕也,FC東京,3,18,0,0,0,,,0,0,0,0,2,0,0,0,21,9,5,,0.0,0.0,0.0,54.8,0
武智洸史,JTサンダーズ広島,8,31,140,64,11,45.7,37.9,13,7,1,9,80,1,16,13,149,70,38,53.8,2.06,0.29,0.3,59.7,74
武藤鉄也,FC東京,18,23,80,43,3,53.8,50.0,0,0,0,9,72,2,5,15,10,6,3,,1.87,0.39,6.2,75.0,54
永野健,パナソニックパンサーズ,17,20,0,0,0,,,0,0,0,0,0,0,0,0,88,40,34,,0.0,0.0,,64.8,0
永露元稀,ウルフドッグス名古屋,21,26,0,0,0,,,0,0,0,0,41,3,6,10,0,0,0,,0.0,0.0,9.8,,3
池田幸太,VC長野トライデンツ,9,32,234,95,27,40.6,29.1,51,24,10,4,107,4,31,29,191,78,51,47.1,2.97,0.12,3.3,54.2,103
河東祐大,VC長野トライデンツ,8,41,8,2,0,25.0,25.0,0,0,0,3,142,1,0,18,2,0,0,,0.05,0.07,3.9,0.0,6
波佐間泰平,VC長野トライデンツ,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,0
浅野博亮,ジェイテクトSTINGS,19,12,0,0,0,,,0,0,0,0,0,0,0,0,16,7,1,,0.0,0.0,,46.9,0
深津旭弘,JTサンダーズ広島,3,45,19,14,0,73.7,73.7,1,0,0,8,190,7,12,60,4,0,1,0.0,0.31,0.18,10.0,12.5,29
深津英臣,パナソニックパンサーズ,2,42,11,8,0,72.7,72.7,0,0,0,11,170,5,16,46,6,0,0,,0.19,0.26,7.4,0.0,24
清水邦広,パナソニックパンサーズ,1,39,293,153,14,52.2,47.4,80,39,4,9,130,15,28,34,7,1,3,48.8,3.92,0.23,12.7,35.7,177
渡辺奏吾,パナソニックパンサーズ,5,19,113,57,3,50.4,47.8,7,5,0,3,67,4,14,16,90,28,25,71.4,3.0,0.16,6.7,45.0,64
濱本豊,大分三好ヴァイセアドラー,16,16,0,0,0,,,0,0,0,0,18,0,4,4,0,0,0,,0.0,0.0,0.0,,0
熊倉允,JTサンダーズ広島,14,6,13,3,1,23.1,15.4,4,2,0,0,5,0,2,2,1,0,1,50.0,0.5,0.0,0.0,50.0,3
玉宅健太郎,FC東京,2,11,1,0,0,0.0,0.0,0,0,0,0,7,0,2,1,0,0,0,,0.0,0.0,-3.6,,0
田尻信太郎,大分三好ヴァイセアドラー,2,3,0,0,0,,,0,0,0,0,4,0,0,0,0,0,0,,0.0,0.0,0.0,,0
白岩直也,ウルフドッグス名古屋,7,3,6,2,0,33.3,33.3,0,0,0,0,8,0,2,0,8,3,3,,0.67,0.0,-6.2,56.2,2
白澤健児,パナソニックパンサーズ,6,4,6,2,0,33.3,33.3,0,0,0,2,12,1,0,2,0,0,0,,0.5,0.5,12.5,,5
矢貫龍馬,VC長野トライデンツ,14,14,10,7,1,70.0,60.0,0,0,0,3,20,2,0,3,2,1,0,,0.5,0.21,13.8,50.0,12
