名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブレシーブ成功率
廣瀬七海,NECレッドロケッツ,9,9,83,29,4,34.9,30.1,19,3,1,1,14,2,5,2,8.9,0,0,0,32,15.8,3.22,0.11,
志摩美古都,PFUブルーキャッツ,35,5,27,12,1,44.4,40.7,2,1,0,0,11,1,0,2,13.6,26,16,6,13,50.0,2.4,0.0,73.1
戸江真奈,久光スプリングス,18,11,0,0,0,,,0,0,0,0,0,0,0,0,,52,25,13,0,,0.0,0.0,60.6
戸部真由香,KUROBEアクアフェアリーズ,20,4,9,5,1,55.6,44.4,0,0,0,0,14,2,1,3,17.9,0,0,0,7,,1.25,0.0,
星加輝,KUROBEアクアフェアリーズ,16,8,3,2,0,66.7,66.7,0,0,0,0,15,1,1,3,10.0,0,0,0,3,,0.25,0.0,
曽我啓菜,NECレッドロケッツ,5,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
杉原若葉,KUROBEアクアフェアリーズ,11,8,30,10,5,33.3,16.7,0,0,0,1,18,1,2,7,12.5,6,4,2,12,,1.25,0.12,83.3
杉郁香,トヨタ車体クインシーズ,15,12,64,27,1,42.2,40.6,0,0,0,2,22,2,3,10,17.0,1,0,1,31,,2.25,0.17,50.0
村上華澄,PFUブルーキャッツ,6,1,2,0,0,0.0,0.0,0,0,0,0,5,0,0,0,0.0,0,0,0,0,,0.0,0.0,
村永奈央,トヨタ車体クインシーズ,6,11,10,0,0,0.0,0.0,0,0,0,0,3,0,0,1,8.3,42,16,12,0,,0.0,0.0,52.4
東谷玲衣奈,デンソーエアリービーズ,20,2,8,1,1,12.5,0.0,1,0,0,0,4,0,1,0,-6.2,7,3,1,1,0.0,0.5,0.0,50.0
松井珠己,デンソーエアリービーズ,14,10,8,4,1,50.0,37.5,0,0,0,2,30,2,0,10,15.0,0,0,0,8,,0.4,0.2,
松本亜弥華,トヨタ車体クインシーズ,14,9,20,6,2,30.0,20.0,0,0,0,2,20,1,3,4,6.2,2,1,0,9,,0.67,0.22,50.0
柳田光綺,NECレッドロケッツ,4,8,65,25,3,38.5,33.8,5,3,1,1,17,0,2,5,4.4,1,0,0,26,60.0,3.12,0.12,0.0
柴田真果,JTマーヴェラス,5,13,8,7,0,87.5,87.5,0,0,0,3,38,0,3,10,4.6,0,0,0,10,,0.54,0.23,
栄絵里香,久光スプリングス,11,1,0,0,0,,,0,0,0,0,1,0,0,0,0.0,0,0,0,0,,0.0,0.0,
梅津憂理,KUROBEアクアフェアリーズ,13,13,103,27,4,26.2,22.3,5,1,0,4,52,4,6,14,11.5,61,25,18,35,20.0,2.08,0.31,55.7
森田夕貴,岡山シーガルズ,19,3,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,
森田茉莉,PFUブルーキャッツ,3,4,0,0,0,,,0,0,0,0,0,0,0,0,,18,6,7,0,,0.0,0.0,52.8
森谷史佳,デンソーエアリービーズ,10,7,8,2,2,25.0,0.0,0,0,0,0,10,0,0,1,2.5,1,0,1,2,,0.29,0.0,50.0
楢崎慈恵,岡山シーガルズ,27,10,0,0,0,,,0,0,0,0,0,0,0,0,,35,21,7,0,,0.0,0.0,70.0
榊原美沙都,トヨタ車体クインシーズ,8,17,0,0,0,,,0,0,0,0,0,0,0,0,,44,26,4,0,,0.0,0.0,63.6
榊原菜那,JTマーヴェラス,9,2,2,0,0,0.0,0.0,0,0,0,2,2,0,0,0,0.0,0,0,0,2,,0.0,1.0,
権田寛奈,埼玉上尾メディックス,18,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
横田真未,デンソーエアリービーズ,16,9,43,23,2,53.5,48.8,0,0,0,6,25,1,4,5,5.0,3,1,1,30,,2.56,0.67,50.0
橋本梨紗,JTマーヴェラス,18,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
橘井友香,JTマーヴェラス,4,13,46,15,1,32.6,30.4,0,0,0,0,24,1,1,10,13.5,11,7,1,16,,1.15,0.0,68.2
櫻井美樹,ヴィクトリーナ姫路,2,9,1,1,0,100.0,100.0,0,0,0,0,22,1,1,4,8.0,1,0,0,2,,0.11,0.0,0.0
水杉玲奈,東レアローズ,11,8,0,0,0,,,0,0,0,0,0,0,0,0,,32,14,8,0,,0.0,0.0,56.2
池谷優佳,久光スプリングス,15,10,0,0,0,,,0,0,0,0,0,0,0,0,,12,2,4,0,,0.0,0.0,33.3
津賀菜緒,PFUブルーキャッツ,13,4,10,4,0,40.0,40.0,0,0,0,0,2,0,0,1,12.5,0,0,0,4,,1.0,0.0,
浮島杏加子,KUROBEアクアフェアリーズ,12,8,56,18,3,32.1,26.8,6,3,1,1,11,0,0,1,2.3,7,2,1,19,50.0,2.25,0.12,35.7
深萱知代,JTマーヴェラス,12,9,0,0,0,,,0,0,0,0,13,0,0,3,5.8,11,6,4,0,,0.0,0.0,72.7
清田萌,ヴィクトリーナ姫路,17,4,0,0,0,,,0,0,0,0,2,0,1,0,-12.5,0,0,0,0,,0.0,0.0,
渡邉かや,ヴィクトリーナ姫路,21,6,0,0,0,,,0,0,0,0,9,1,0,1,13.9,6,1,3,1,,0.0,0.0,41.7
渡邊彩,トヨタ車体クインシーズ,7,13,52,24,3,46.2,40.4,0,0,0,6,41,0,1,9,4.9,1,1,0,30,,1.85,0.46,100.0
渡邊真恵,岡山シーガルズ,6,16,104,32,4,30.8,26.9,7,1,1,1,42,0,1,12,6.5,10,3,3,33,14.3,2.0,0.06,45.0
澤田由佳,NECレッドロケッツ,10,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
濱松明日香,久光スプリングス,17,7,36,16,5,44.4,30.6,0,0,0,2,19,0,3,3,0.0,0,0,0,18,,2.29,0.29,
瀬戸杏華,PFUブルーキャッツ,2,1,6,2,0,33.3,33.3,0,0,0,0,3,0,0,1,8.3,0,0,0,2,,2.0,0.0,
熊井風音,トヨタ車体クインシーズ,10,1,2,0,0,0.0,0.0,0,0,0,0,1,0,0,1,25.0,2,0,0,0,,0.0,0.0,0.0
田中咲希,ヴィクトリーナ姫路,13,6,52,17,4,32.7,25.0,3,1,0,1,22,2,2,3,10.2,38,17,7,20,33.3,2.83,0.17,53.9
田中瑞稀,JTマーヴェラス,6,13,142,54,6,38.0,33.8,11,4,1,3,49,2,8,11,5.6,73,28,16,59,36.4,4.15,0.23,49.3
田原愛里,デンソーエアリービーズ,8,5,0,0,0,,,0,0,0,0,3,0,0,0,0.0,0,0,0,0,,0.0,0.0,
田口絢佳,岡山シーガルズ,3,5,7,1,1,14.3,0.0,0,0,0,2,7,0,2,2,0.0,0,0,0,3,,0.2,0.4,
田川紘美,埼玉上尾メディックス,20,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
白井美沙紀,東レアローズ,4,9,3,0,1,0.0,-33.3,0,0,0,2,28,0,5,10,4.5,1,0,0,2,,0.0,0.22,0.0
白澤明香里,久光スプリングス,13,2,0,0,0,,,0,0,0,0,3,0,0,0,0.0,0,0,0,0,,0.0,0.0,
目黒優佳,JTマーヴェラス,11,13,0,0,0,,,0,0,0,0,0,0,0,0,,48,26,17,0,,0.0,0.0,71.9
目黒安希,埼玉上尾メディックス,22,3,13,4,2,30.8,15.4,0,0,0,0,8,0,0,3,9.4,17,6,1,4,,1.33,0.0,38.2
石橋桃子,デンソーエアリービーズ,12,1,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,
神田さくら,JTマーヴェラス,17,5,7,3,0,42.9,42.9,0,0,0,0,19,1,1,4,9.2,1,1,0,4,,0.6,0.0,100.0
福井愛加,ヴィクトリーナ姫路,19,6,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,0.0,0.0,
福留慧美,デンソーエアリービーズ,19,10,0,0,0,,,0,0,0,0,0,0,0,0,,29,18,2,0,,0.0,0.0,65.5
積山春花,デンソーエアリービーズ,2,8,7,4,0,57.1,57.1,0,0,0,0,6,0,1,2,4.2,0,0,0,4,,0.5,0.0,
窪田美侑,日立リヴァーレ,4,10,17,5,1,29.4,23.5,0,0,0,0,22,2,1,8,17.0,14,4,5,7,,0.5,0.0,46.4
立石優華,KUROBEアクアフェアリーズ,18,13,0,0,0,,,0,0,0,0,0,0,0,0,,56,27,14,0,,0.0,0.0,60.7
細沼綾,KUROBEアクアフェアリーズ,14,4,16,3,1,18.8,12.5,0,0,0,1,9,1,1,2,13.9,4,4,0,5,,0.75,0.25,100.0
綿引菜都美,PFUブルーキャッツ,10,4,9,1,1,11.1,0.0,0,0,0,2,13,1,0,3,13.5,0,0,0,4,,0.25,0.5,
脇田美怜,ヴィクトリーナ姫路,10,5,33,10,5,30.3,15.2,3,0,2,0,9,1,3,1,5.6,13,3,3,11,0.0,2.0,0.0,34.6
舛田紗淑,KUROBEアクアフェアリーズ,9,8,70,28,3,40.0,35.7,1,0,0,1,30,2,4,8,10.0,51,30,6,31,0.0,3.5,0.12,64.7
船田芽依,岡山シーガルズ,22,2,0,0,0,,,0,0,0,0,4,1,0,0,25.0,6,5,0,1,,0.0,0.0,83.3
花井萌里,ヴィクトリーナ姫路,4,9,0,0,0,,,0,0,0,0,0,0,0,0,,42,23,9,0,,0.0,0.0,65.5
芳賀舞波,日立リヴァーレ,6,8,26,5,0,19.2,19.2,0,0,0,2,17,0,1,4,4.4,2,1,0,7,,0.62,0.25,50.0
荒木彩花,久光スプリングス,20,5,12,4,1,33.3,25.0,0,0,0,2,15,0,1,6,8.3,0,0,0,6,,0.8,0.4,
荒谷栞,ヴィクトリーナ姫路,11,3,3,2,0,66.7,66.7,0,0,0,0,0,0,0,0,,0,0,0,2,,0.67,0.0,
菊池杏菜,KUROBEアクアフェアリーズ,5,12,1,0,0,0.0,0.0,0,0,0,0,36,0,0,6,4.2,1,0,0,0,,0.0,0.0,0.0
藤井莉子,NECレッドロケッツ,19,4,0,0,0,,,0,0,0,0,0,0,0,0,,7,2,3,0,,0.0,0.0,50.0
藪田美穂子,トヨタ車体クインシーズ,17,16,91,19,9,20.9,11.0,9,0,1,1,36,0,2,8,4.2,85,30,23,20,0.0,1.19,0.06,48.8
西崎愛菜,JTマーヴェラス,20,5,0,0,0,,,0,0,0,0,7,0,1,1,0.0,0,0,0,0,,0.0,0.0,
西川吉野,東レアローズ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
