試合日,年月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2020-10-31,2020-10,ブレス浜松,26,L,中道香名子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-10-31,2020-10,ルートインホテルズブリリアントアリーズ,2,,小坂亜未,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-10-31,2020-10,ルートインホテルズブリリアントアリーズ,3,L,水谷真友,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,12,8,2,75.0
2020-10-31,2020-10,ルートインホテルズブリリアントアリーズ,4,,佐々木里菜,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,5,1,0,1,25.0,0,0,0,-
2020-10-31,2020-10,ルートインホテルズブリリアントアリーズ,5,,高橋愛未,4,■,■,■,■,nan,36,15,0,0.4166666666666667,0.4166666666666667,3.75,0,0,0,-,2,0.50,13,0,2,1,-1.9,32,20,6,71.9
2020-10-31,2020-10,ルートインホテルズブリリアントアリーズ,6,,岸村恵実,4,■,■,■,■,nan,21,7,3,0.3333333333333333,0.19047619047619047,1.75,0,0,0,-,0,-,12,0,3,2,-2.1,0,0,0,-
2020-10-31,2020-10,ルートインホテルズブリリアントアリーズ,8,L,石井彩,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-10-31,2020-10,ルートインホテルズブリリアントアリーズ,11,,平原果歩,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-10-31,2020-10,ルートインホテルズブリリアントアリーズ,12,,綱田愛,4,□,□,□,□,nan,14,4,2,0.2857142857142857,0.14285714285714285,1.00,0,0,0,-,0,-,1,0,0,0,0.0,1,0,0,0.0
2020-10-31,2020-10,ルートインホテルズブリリアントアリーズ,14,,村山美佳,4,■,■,■,■,nan,34,12,1,0.35294117647058826,0.3235294117647059,3.00,2,0,0,0.0,1,0.25,10,2,1,2,22.5,0,0,0,-
