名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
前田悟,02,JTサンダーズ,11,7,7,5,0,71.4,71.4,0,0,0,0,8,0,3,2,0,0,0,5,,0.7,0.0,-3.1,
前田悟,03,JTサンダーズ,11,8,3,2,0,66.7,66.7,0,0,0,1,15,0,5,2,0,0,0,3,,0.2,0.1,-5.0,
北川祐介,02,パナソニックパンサーズ,9,13,20,11,1,55.0,50.0,0,0,0,9,36,0,0,1,7,6,0,20,,0.8,0.7,0.7,85.7
北川祐介,03,パナソニックパンサーズ,9,4,7,4,0,57.1,57.1,0,0,0,7,15,0,0,0,4,1,0,11,,1.0,1.8,0.0,25.0
千葉進也,02,堺ブレイザーズ,6,12,72,32,4,44.4,38.9,10,4,1,2,36,3,2,14,47,25,0,37,40.0,2.7,0.2,16.7,53.2
千葉進也,03,堺ブレイザーズ,6,4,20,5,2,25.0,15.0,3,1,0,0,10,0,0,1,32,25,0,5,33.3,1.2,0.0,2.5,78.1
吉田譲,02,サントリーサンバーズ,19,7,0,0,0,,,0,0,0,0,9,1,4,1,0,0,0,1,,0.0,0.0,2.8,
吉田譲,03,サントリーサンバーズ,19,5,0,0,0,,,0,0,0,0,10,1,3,2,0,0,0,1,,0.0,0.0,7.5,
坂本雄一郎,02,サントリーサンバーズ,3,7,11,6,0,54.5,54.5,0,0,0,3,15,0,0,4,0,0,0,9,,0.9,0.4,6.7,
坂本雄一郎,03,サントリーサンバーズ,3,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
