名前,年月,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
澤田由佳,2021-02,NECレッドロケッツ,10,2,3,0,5,0,0,0,,,0,0,0,1,17,0,1,6,0,0,0,1,,0.0,0.2,7.4,
濱松明日香,2021-02,久光スプリングス,17,0,3,0,1,3,2,0,66.7,66.7,0,0,0,0,1,0,0,0,0,0,0,2,,2.0,0.0,0.0,
瀬戸杏華,2021-02,PFUブルーキャッツ,2,3,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
熊井風音,2021-02,トヨタ車体クインシーズ,10,2,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
田中咲希,2021-02,ヴィクトリーナ姫路,13,3,2,1,5,51,21,1,41.2,39.2,0,0,0,0,18,2,2,5,25,12,3,23,,4.2,0.0,15.3,54.0
田中瑞稀,2021-02,JTマーヴェラス,6,3,2,1,5,28,9,1,32.1,28.6,0,0,0,0,11,0,3,3,16,2,7,9,,1.8,0.0,0.0,34.4
田代佳奈美,2021-02,デンソーエアリービーズ,6,0,3,0,2,1,1,0,100.0,100.0,0,0,0,0,4,0,2,2,0,0,0,1,,0.5,0.0,0.0,
田川紘美,2021-02,埼玉上尾メディックス,20,3,1,1,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
白井美沙紀,2021-02,東レアローズ,4,3,0,1,3,0,0,0,,,0,0,0,0,5,1,1,2,0,0,0,1,,0.0,0.0,25.0,
白澤明香里,2021-02,久光スプリングス,13,0,3,0,2,0,0,0,,,0,0,0,0,2,0,1,0,0,0,0,0,,0.0,0.0,-12.5,
目黒優佳,2021-02,JTマーヴェラス,11,3,2,1,4,0,0,0,,,0,0,0,0,6,0,0,1,5,1,2,0,,0.0,0.0,4.2,40.0
石井優希,2021-02,久光スプリングス,6,0,3,0,3,34,7,1,20.6,17.6,6,0,1,0,12,2,1,2,36,20,6,9,0.0,2.33,0.0,18.8,63.9
石川真佑,2021-02,東レアローズ,12,3,0,1,3,28,9,3,32.1,21.4,4,1,1,2,12,0,1,6,27,6,10,11,25.0,3.0,0.67,10.4,40.7
福井愛加,2021-02,ヴィクトリーナ姫路,19,3,2,1,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
福留慧美,2021-02,デンソーエアリービーズ,19,0,3,0,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
窪田美侑,2021-02,日立リヴァーレ,4,1,3,0,4,0,0,0,,,0,0,0,0,7,0,0,3,6,4,1,0,,0.0,0.0,10.7,75.0
立石優華,2021-02,KUROBEアクアフェアリーズ,18,1,3,0,4,0,0,0,,,0,0,0,0,0,0,0,0,16,8,5,0,,0.0,0.0,,65.6
籾井あき,2021-02,JTマーヴェラス,8,3,2,1,5,2,2,0,100.0,100.0,0,0,0,0,8,0,3,0,0,0,0,2,,0.4,0.0,-9.4,
細沼綾,2021-02,KUROBEアクアフェアリーズ,14,1,3,0,4,22,5,3,22.7,9.1,0,0,0,3,13,0,2,7,2,1,1,8,,1.25,0.75,9.6,75.0
綿引菜都美,2021-02,PFUブルーキャッツ,10,3,1,1,4,8,2,0,25.0,25.0,0,0,0,5,11,0,0,6,0,0,0,7,,0.5,1.25,13.6,
舛田紗淑,2021-02,KUROBEアクアフェアリーズ,9,1,3,0,4,39,10,3,25.6,17.9,2,0,1,0,9,0,2,0,27,13,4,10,0.0,2.5,0.0,-5.6,55.6
船田芽依,2021-02,岡山シーガルズ,22,3,0,1,1,0,0,0,,,0,0,0,0,1,0,0,1,5,3,1,0,,0.0,0.0,25.0,70.0
芥川愛加,2021-02,JTマーヴェラス,1,3,2,1,5,5,3,1,60.0,40.0,0,0,0,2,24,1,1,9,2,0,1,6,,0.6,0.4,12.5,25.0
花井萌里,2021-02,ヴィクトリーナ姫路,4,3,2,1,5,0,0,0,,,0,0,0,0,0,0,0,0,19,10,4,0,,0.0,0.0,,63.2
芳賀舞波,2021-02,日立リヴァーレ,6,1,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
